sku;grouped_skus;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
amar_500_10_120031056251;950244;Default;grouped;base;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Shop/Artificial flowers & plants/Seasonal flowers & plants/Seasonal plants & flowers;Mica Decorations;to be determined;white; 95024401.jpg; 95024401.jpg; 95024401.jpg
amar_500_40_120031056251; 950243, 950245;Default;grouped;base;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Amaryllis;Shop/Artificial flowers & plants/Seasonal flowers & plants/Seasonal plants & flowers;Mica Decorations;to be determined;red; 95024301.jpg; 95024301.jpg; 95024301.jpg
amasona_500_30_110030306030;1030671;Default;grouped;base;Amasona;Amasona;Amasona;Amasona;Amasona;Amasona;Shop/Home accessories/Room accents/Decorative objects;Casa Vivante;to be determined;black; 103067101.jpg; 103067101.jpg; 103067101.jpg
amel_500_180_100030206022; 017987, 017988, 017989, 017992;Default;grouped;base;Amelie;Amelie;Amelie;Amelie;Amelie;Amelie;Shop/Pottery & glassware/Glassware/Glass bell jars;Mica Decorations;to be determined;transparent; 01798701.jpg; 01798701.jpg; 01798701.jpg
amia_500_120_110030506050;1029840;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Small furniture/Stools;Casa Vivante;to be determined;brown; 102984001.jpg; 102984001.jpg; 102984001.jpg
amia_500_120_110030606063; 1029842, 1029845;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Organization/Organization others;Casa Vivante;to be determined;brown; 102984201.jpg; 102984201.jpg; 102984201.jpg
amia_500_120_110030806081;1029839;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Home textiles/Pillows;Casa Vivante;to be determined;brown; 102983901.jpg; 102983901.jpg; 102983901.jpg
amia_500_20_110030506050;1029838;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Small furniture/Stools;Casa Vivante;to be determined;grey; 102983801.jpg; 102983801.jpg; 102983801.jpg
amia_500_20_110030606063; 1029841, 1029843;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Organization/Organization others;Casa Vivante;to be determined;grey; 102984101.jpg; 102984101.jpg; 102984101.jpg
amia_500_20_110030806081;1029837;Default;grouped;base;Amia;Amia;Amia;Amia;Amia;Amia;Shop/Home accessories/Home textiles/Pillows;Casa Vivante;to be determined;grey; 102983701.jpg; 102983701.jpg; 102983701.jpg
