sku;attribute_set_code;product_type;product_websites;name;meta_title;meta_description;description;short_description;categories;image;small_image;thumbnail;ed_brand;ed_type;ed_model;ed_essentials;price;length;width;height;diameter;weight;qty;min_sale_qty;ed_fmat;ed_fheig;ed_color;discount_percentage;config_size
389836;Default;Simple;base;Jewel x-mas tree led d. green - h185xd119cm;Jewel x-mas tree led d. green - h185xd119cm;Jewel x-mas tree led d. green - h185xd119cm;Jewel x-mas tree led d. green 168L TIPS 611 - h185xd119cm;Jewel x-mas tree led d. green 168L TIPS 611 - h185xd119cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38983601.jpg;/38983601.jpg;/38983601.jpg;Triumph Tree;led deluxe;Jewel;No;0;NULL;NULL;185;119;0;0;4;pvc;170 - 210 cm;d.green;0;H185.D119.
389855;Default;Simple;base;Nottingham x-mas tree led delux green - h155xd102cm;Nottingham x-mas tree led delux green - h155xd102cm;Nottingham x-mas tree led delux green - h155xd102cm;Nottingham x-mas tree led delux green 120L TIPS 892 - h155xd102cm;Nottingham x-mas tree led delux green 120L TIPS 892 - h155xd102cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38985501.jpg;/38985501.jpg;/38985501.jpg;Triumph Tree;deluxe;Nottingham;No;0;NULL;NULL;155;102;0;0;4;pvc/pe;130 - 170 cm;green;0;H155.D102.
389858;Default;Simple;base;Nottingham x-mas tree led delux green - h230xd140cm;Nottingham x-mas tree led delux green - h230xd140cm;Nottingham x-mas tree led delux green - h230xd140cm;Nottingham x-mas tree led delux green 336L TIPS 2141 - h230xd140cm;Nottingham x-mas tree led delux green 336L TIPS 2141 - h230xd140cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38985801.jpg;/38985801.jpg;/38985801.jpg;Triumph Tree;deluxe;Nottingham;No;0;NULL;NULL;230;140;0;0;2;pvc/pe;210 - 240 cm;green;0;H230.D140.
389914;Default;Simple;base;Sherwood x-mas tree led delux green - h120xd94cm;Sherwood x-mas tree led delux green - h120xd94cm;Sherwood x-mas tree led delux green - h120xd94cm;Sherwood x-mas tree led delux green 88L TIPS 615 - h120xd94cm;Sherwood x-mas tree led delux green 88L TIPS 615 - h120xd94cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38991401.jpg;/38991401.jpg;/38991401.jpg;Triumph Tree;led;Sherwood;No;0;NULL;NULL;120;94;0;0;6;pvc/pe;90 - 130 cm;green;0;H120.D94.
390037;Default;Simple;base;Icelandic x-mas tree w/burlap white iridescent - h60xd46cm;Icelandic x-mas tree w/burlap white iridescent - h60xd46cm;Icelandic x-mas tree w/burlap white iridescent - h60xd46cm;Icelandic x-mas tree w/burlap white iridescent TIPS 65 - h60xd46cm;Icelandic x-mas tree w/burlap white iridescent TIPS 65 - h60xd46cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas tree burlap/potted;/39003701.jpg;/39003701.jpg;/39003701.jpg;Triumph Tree;Norm Francais;Icelandic;No;0;NULL;NULL;60;46;0;0;6;pvc;60 - 90 cm;white;0;H60.D46.
391735;Default;Simple;base;Canmore x-mas tree led green - h155xd91cm;Canmore x-mas tree led green - h155xd91cm;Canmore x-mas tree led green - h155xd91cm;Canmore x-mas tree led green 100L TIPS 340 - h155xd91cm;Canmore x-mas tree led green 100L TIPS 340 - h155xd91cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/39173501.jpg;/39173501.jpg;/39173501.jpg;Black Box Trees;Norm Francais;Canmore;No;0;NULL;NULL;155;91;0;0;1;pvc;130 - 170 cm;green;0;H155.D91.
398726;Default;Simple;base;Bristlecone Fir x-mas tree green - h185xd119cm;Bristlecone Fir x-mas tree green - h185xd119cm;Bristlecone Fir x-mas tree green - h185xd119cm;Bristlecone Fir x-mas tree green TIPS 686 - h185xd119cm;Bristlecone Fir x-mas tree green TIPS 686 - h185xd119cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/39872601.jpg;/39872601.jpg;/39872601.jpg;Triumph Tree;Norm Francais;Bristlecone Fir;No;0;NULL;NULL;185;119;0;0;4;pvc/hardneedle;170 - 210 cm;green;0;H185.D119.
782506;Default;Simple;base;Tuscan x-mas tree green - h200xd112cm;Tuscan x-mas tree green - h200xd112cm;Tuscan x-mas tree green - h200xd112cm;Tuscan x-mas tree green - h200xd112cm;Tuscan x-mas tree green - h200xd112cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/78250601.jpg;/78250601.jpg;/78250601.jpg;Triumph Tree;green;Tuscan;No;0;NULL;NULL;200;112;0;0;1;pvc;170 - 210 cm;green;0;H200.D112.
788625;Default;Simple;base;Richmond x-mas tree green - h155xd102cm;Richmond x-mas tree green - h155xd102cm;Richmond x-mas tree green - h155xd102cm;Richmond x-mas tree green TIPS 312 - h155xd102cm;Richmond x-mas tree green TIPS 312 - h155xd102cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/78862501.jpg;/78862501.jpg;/78862501.jpg;Triumph Tree;green;Richmond;No;0;NULL;NULL;155;102;0;0;1;hardneedle;130 - 170 cm;green;0;H155.D102.
788683;Default;Simple;base;Sierra x-mas tree w burlap green - h90xd69cm;Sierra x-mas tree w burlap green - h90xd69cm;Sierra x-mas tree w burlap green - h90xd69cm;Sierra x-mas tree w burlap green TIPS 106 - h90xd69cm;Sierra x-mas tree w burlap green TIPS 106 - h90xd69cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas tree burlap/potted;/78868301.jpg;/78868301.jpg;/78868301.jpg;Triumph Tree;with burlap;Sierra;No;0;NULL;NULL;90;69;0;0;6;hardneedle;90 - 130 cm;green;0;H90.D69.
790052;Default;Simple;base;Forest Frosted x-mas tree green - h365xd208cm;Forest Frosted x-mas tree green - h365xd208cm;Forest Frosted x-mas tree green - h365xd208cm;Forest Fr.Pine x-mas tree green TIPS 4535 - h365xd208cm;Forest Fr.Pine x-mas tree green TIPS 4535 - h365xd208cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/79005201.jpg;/79005201.jpg;/79005201.jpg;Triumph Tree;Norm Francais;Forest Fr.Pine;No;0;NULL;NULL;365;208;0;0;1;pvc/hardneedle;300 - 400 cm;green;0;H365.D208.
790357;Default;Simple;base;Oregan x-mas tree green - h215xd132cm;Oregan x-mas tree green - h215xd132cm;Oregan x-mas tree green - h215xd132cm;Oregan x-mas tree green TIPS 762 - h215xd132cm;Oregan x-mas tree green TIPS 762 - h215xd132cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/79035701.jpg;/79035701.jpg;/79035701.jpg;Triumph Tree;Norm Francais;Oregan;No;0;NULL;NULL;215;132;0;0;3;pvc;210 - 240 cm;green;0;H215.D132.
884748;Default;Simple;base;Macallan x-mas tree led green - h230xd140cm;Macallan x-mas tree led green - h230xd140cm;Macallan x-mas tree led green - h230xd140cm;Macallan x-mas tree led green 408L TIPS 2526 - h230xd140cm;Macallan x-mas tree led green 408L TIPS 2526 - h230xd140cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/88474801.jpg;/88474801.jpg;/88474801.jpg;Black Box Trees;UK plug;Macallan;No;0;NULL;NULL;230;140;0;0;2;pvc/pe;210 - 240 cm;green;0;H230.D140.
884749;Default;Simple;base;Macallan x-mas tree led green - h260xd150cm;Macallan x-mas tree led green - h260xd150cm;Macallan x-mas tree led green - h260xd150cm;Macallan x-mas tree led green 504L TIPS 3241 - h260xd150cm;Macallan x-mas tree led green 504L TIPS 3241 - h260xd150cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/88474901.jpg;/88474901.jpg;/88474901.jpg;Black Box Trees;UK plug;Macallan;No;0;NULL;NULL;260;150;0;0;1;pvc/pe;240 - 300 cm;green;0;H260.D150.
1052544;Default;Simple;base;Medford x-mas tree led green fr multicolour - h215xd114cm;Medford x-mas tree led green fr multicolour - h215xd114cm;Medford x-mas tree led green fr multicolour - h215xd114cm;Medford x-mas tree led green frosted multicolour 200L TIPS 710 - h215xd114cm;Medford x-mas tree led green frosted multicolour 200L TIPS 710 - h215xd114cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/105254401.jpg;/105254401.jpg;/105254401.jpg;Black Box Trees;to be determined;Medford;No;0;NULL;NULL;215;114;0;0;3;pvc/hardneedle;210 - 240 cm;multicolour;0;H215.D114.
379256;Default;Simple;base;Tacoma x-mas tree green - h260xd167cm;Tacoma x-mas tree green - h260xd167cm;Tacoma x-mas tree green - h260xd167cm;Tacoma x-mas tree green TIPS 1417 - h260xd167cm;Tacoma x-mas tree green TIPS 1417 - h260xd167cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/37925601.jpg;/37925601.jpg;/37925601.jpg;Black Box Trees;to be determined;Tacoma;No;0;NULL;NULL;260;167;0;2;1;pvc/hardneedle;240 - 300 cm;green;0;H260.D167.
379266;Default;Simple;base;Nebreska x-mas tree green - h185xd117cm;Nebreska x-mas tree green - h185xd117cm;Nebreska x-mas tree green - h185xd117cm;Nebreska x-mas tree green TIPS 1092 - h185xd117cm;Nebreska x-mas tree green TIPS 1092 - h185xd117cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/37926601.jpg;/37926601.jpg;/37926601.jpg;Black Box Trees;to be determined;Nebraska;No;0;NULL;NULL;185;117;0;0;1;pvc/pe;170 - 210 cm;green;0;H185.D117.
