sku;ed_model;ed_color;ed_size;;
394637;Frosted Stelton;green;H215.D147.;;
788611;Icelandic;white;H45.D36.;;
788612;Icelandic;white;H60.D46.;;
788613;Icelandic;white;H90.D56.;;
792101;Icelandic;white;H45.D36.;;
792102;Icelandic;white;H60.D46.;;
792103;Icelandic;white;H90.D56.;;
389301;;green;L500.D35.;;
389302;;green;L500.D35.;;
389303;;green;H80.D50.;;
389304;;green;H80.D50.;;
389315;Bristlecone Fir;black;H155.D99.;;
389316;Bristlecone Fir;black;H185.D119.;;
389317;Bristlecone Fir;black;H215.D127.;;
399315;Bristlecone Fir;black;H155.D99.;;
399316;Bristlecone Fir;black;H185.D119.;;
399317;Bristlecone Fir;black;H215.D127.;;
381500;;red;L2.5.H6;;
381501;;multicolour;L4.5.H6.5;;
381502;;multicolour;L6.5.H6.5;;
381545;;multicolour;L17.5.W18.5.H21;;
88879;Icelandic;white;H260.D160.;;
389324;Emerald;green;H185.D109.;;
389326;Emerald;green;H215.D114.;;
389328;Emerald;green;H245.D132.;;
288879;Icelandic;white;H260.D160.;;
88801;Norway;green;H60.D46.;;
88802;Norway;green;H90.D71.;;
88804;Norway;green;H155.D109.;;
88805;Norway;green;H185.D135.;;
88807;Norway;green;H215.D152.;;
88808;Norway;green;H230.D165.;;
88809;Norway;green;H260.D178.;;
88810;Norway;green;H305.D196.;;
112709;Ebony;white;H39.D10.5.;;
112710;Ebony;white;H31.5.D9.;;
600366;;mixed colours;L24.W11.5.H13;;
600389;;mixed colours;L5.5.W4.H6.5;;
605000;;green;H30.5.D11.;;
605001;;green;H23.D8.;;
605002;;green;H15.D6.;;
605003;;green;H10.D4.;;
605004;;green;H7.5;;
605005;;green;H22.D8.;;
605006;;green;L37.W30.H9;;
605009;;white;H10.D7.;;
605020;;green;H31.D14.;;
605048;;white;H35.D13.;;
605049;;white;H23;;
605050;;white;H15;;
605052;;mixed colours;L13.W3.H4;;
605079;;brown;H23;;
605080;;brown;H17.5;;
605090;;blue;L175;;
605091;;white;L175;;
605106;;white;L175;;
605523;;clear;H5.D2.;;
149880;Lidy;grey;H6.D8.;;
149881;Lidy;grey;H11.D12.5.;;
149882;Lidy;grey;H12.D14.5.;;
149883;Lidy;grey;H13.D15.5.;;
149884;Lidy;grey;H15.D18.;;
149885;Lidy;grey;H17.D20.5.;;
149887;Lidy;grey;H22.D26.;;
149888;Lidy;grey;H24.5.D29.;;
149893;Chris;grey;L120.W80.H169;;
149900;Lidy;white;H8.5.D11.;;
149902;Lidy;red;H8.5.D11.;;
149906;Lidy;green;H8.5.D11.;;
149908;Lidy;cream;H8.5.D11.;;
149912;Lidy;grey;H8.5.D11.;;
391395;Forest Fr.Pine;newgrowth blue;H155.D119.;;
391396;Forest Fr.Pine;newgrowth blue;H185.D130.;;
391397;Forest Fr.Pine;newgrowth blue;H215.D140.;;
391398;Forest Fr.Pine;newgrowth blue;H230.D157.;;
391399;Forest Fr.Pine;newgrowth blue;H260.D168.;;
88931;Norway;blue;H60.D46.;;
88932;Norway;blue;H90.D71.;;
88934;Norway;blue;H155.D109.;;
153012;Rocca;l.grey;H40.D49.;;
605126;;black;L2.W2.H9.5;;
605127;;black;L2.W1.5.H10;;
605128;;black;L2.W1.5.H10;;
605131;;green;L4.W2.H10;;
605132;;black;L3.W3.H10.5;;
605133;;green;L5.W2.H11;;
605135;;green;L120.H47;;
605142;;green;H15;;
605143;;green;H23;;
605149;;black;L2.W1.5.H10.5;;
98810;Colorado;green;D30.;;
98811;Colorado;green;D45.;;
98812;Colorado;green;D50.;;
98813;Colorado;green;D60.;;
98814;Colorado;green;D90.;;
98815;Colorado;green;L270.D30.;;
98816;Colorado;green;L270.D35.;;
98817;Colorado;green;L185;;
98818;Colorado;green;L270;;
88813;Scandia;blue;H155.D112.;;
88854;Scandia;green;H185.D124.;;
88814;Scandia;blue;H185.D124.;;
88816;Scandia;blue;H215.D150.;;
88817;Scandia;blue;H230.D163.;;
