sku;grouped_skus;ed_search;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
anto_500_10_11003050;1023194;1023194;default;grouped;base;antoinette;antoinette;antoinette;antoinette;antoinette;antoinette;shop/home accessories/small furniture;mica decorations;to be determined;white; 102319401.jpg; 102319401.jpg; 102319401.jpg
anto_500_140_11003030;133481;133481;default;grouped;base;antoinette;antoinette;antoinette;antoinette;antoinette;antoinette;shop/home accessories/room accents;mica decorations;to be determined;silver; 13348101.jpg; 13348101.jpg; 13348101.jpg
antria_500_20_11003030; 1038033, 1038034; 1038033, 1038034;default;grouped;base;antria;antria;antria;antria;antria;antria;shop/home accessories/room accents;casa vivante;to be determined;grey; 103803301.jpg; 103803301.jpg; 103803301.jpg
apbo_80_80_12003110;1027996;1027996;default;grouped;base;apple tree;apple tree;apple tree;apple tree;apple tree;apple tree;shop/artificial flowers & plants/trees;mica decorations;green plants;green; 102799601.jpg; 102799601.jpg; 102799601.jpg
aqua_59_180_10003020; 147780, 147781; 147780, 147781;default;grouped;base;aqua;aqua;aqua;aqua;aqua;aqua;shop/pottery & glassware/glassware;mica decorations;bottle;transparent; 14778001.jpg; 14778001.jpg; 14778001.jpg
aral_519_60_12003090; 1005737, 1005739; 1005737, 1005739;default;grouped;base;aralia;aralia;aralia;aralia;aralia;aralia;shop/artificial flowers & plants/flowers & bouquets;casa vivante;others;yellow; 100573701.jpg; 100573701.jpg; 100573701.jpg
arba_151_10_11003030; 1037624, 1037625, 1037626; 1037624, 1037625, 1037626;default;grouped;base;arba;arba;arba;arba;arba;arba;shop/home accessories/room accents;casa vivante;pot;white; 103762401.jpg; 103762401.jpg; 103762401.jpg
arba_163_10_11003030; 1037628, 1037629; 1037628, 1037629;default;grouped;base;arba;arba;arba;arba;arba;arba;shop/home accessories/room accents;casa vivante;bowl;white; 103762801.jpg; 103762801.jpg; 103762801.jpg
arba_500_10_11003030;1037627;1037627;default;grouped;base;arba;arba;arba;arba;arba;arba;shop/home accessories/room accents;casa vivante;to be determined;white; 103762701.jpg; 103762701.jpg; 103762701.jpg
arctium_500_10_12003090;1011377;1011377;default;grouped;base;arctium;arctium;arctium;arctium;arctium;arctium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;white; 101137701.jpg; 101137701.jpg; 101137701.jpg
arez_115_11_11003030;133278;133278;default;grouped;base;arezzo;arezzo;arezzo;arezzo;arezzo;arezzo;shop/home accessories/room accents;casa vivante;lantern;white wash; 13327801.jpg; 13327801.jpg; 13327801.jpg
arez_115_160_11003030; 133343, 133344; 133343, 133344;default;grouped;base;arezzo;arezzo;arezzo;arezzo;arezzo;arezzo;shop/home accessories/room accents;casa vivante;lantern;copper; 13334301.jpg; 13334301.jpg; 13334301.jpg
ariadne_151_13_10003000; 1026344, 1026345, 1026346, 1026348, 1026349, 1026359, 1027366; 1026344, 1026345, 1026346, 1026348, 1026349, 1026359, 1027366;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;pot;off white; 102634401.jpg; 102634401.jpg; 102634401.jpg
ariadne_151_22_10003000; 1026350, 1026351, 1026354, 1026355, 1026360, 1027368; 1026350, 1026351, 1026354, 1026355, 1026360, 1027368;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;pot;d.grey; 102635001.jpg; 102635001.jpg; 102635001.jpg
ariadne_163_13_10003000;1027365;1027365;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;bowl;off white; 102736501.jpg; 102736501.jpg; 102736501.jpg
ariadne_163_22_10003000;1027367;1027367;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;bowl;d.grey; 102736701.jpg; 102736701.jpg; 102736701.jpg
ariadne_180_13_10003000;1026347;1026347;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;vase;off white; 102634701.jpg; 102634701.jpg; 102634701.jpg
ariadne_180_22_10003000;1026353;1026353;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/pottery & glassware/indoor pottery;mica decorations;vase;d.grey; 102635301.jpg; 102635301.jpg; 102635301.jpg
ariadne_500_40_11003080;1022810;1022810;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/home accessories/home textiles;casa vivante;to be determined;red; 102281001.jpg; 102281001.jpg; 102281001.jpg
ariadne_500_63_11003080;1022811;1022811;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/home accessories/home textiles;casa vivante;to be determined;ochre; 102281101.jpg; 102281101.jpg; 102281101.jpg
ariadne_500_90_11003080;1022809;1022809;default;grouped;base;ariadne;ariadne;ariadne;ariadne;ariadne;ariadne;shop/home accessories/home textiles;casa vivante;to be determined;blue; 102280901.jpg; 102280901.jpg; 102280901.jpg
arja_500_13_13003140; 1025606, 1025607, 1025608, 1025611; 1025606, 1025607, 1025608, 1025611;default;grouped;base;arja;arja;arja;arja;arja;arja;shop/spring & outdoor decoration/outdoor decorations;house of seasons;to be determined;off white; 102560601.jpg; 102560601.jpg; 102560601.jpg
arlp_500_80_11003030;1024927;1024927;default;grouped;base;arlington;arlington;arlington;arlington;arlington;arlington;shop/home accessories/room accents;mica decorations;to be determined;green; 102492701.jpg; 102492701.jpg; 102492701.jpg
